Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Edible Seaweed Film,12.3,3.6,100,0.4,5.7,2,Consider as Option
Bioplastic (PLA),64.1,9,85.6,2.17,46,8,Consider as Option
Bagasse (Sugarcane),28.2,6,98.5,1.36,63.8,5,Highly Recommended
Recycled Cardboard,25.2,0.6,94.1,1.22,84.8,4,Highly Recommended
Bioplastic (PLA),65.2,1.5,87.8,2.19,50.1,8,Highly Recommended
Bamboo Fiber,40.2,4.7,97.9,0.5,39,8,Highly Recommended
Aluminum Foil,42.3,9.4,0,11.32,91.3,10,Avoid
Bagasse (Sugarcane),35.3,7.8,98.8,1.29,67,5,Highly Recommended
Bagasse (Sugarcane),30.7,2,98.4,1.37,59.8,7,Highly Recommended
Bamboo Fiber,42.6,6.3,99.2,0.89,43.2,8,Highly Recommended
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,Avoid
Recycled Cardboard,22.8,8.3,98.9,1.33,85.4,5,Highly Recommended
Bagasse (Sugarcane),22.5,8.4,97.7,1.02,53.9,6,Highly Recommended
Bioplastic (PLA),68.4,5,86.8,1.5,45,9,Highly Recommended
Bamboo Fiber,56.9,8.8,99.5,0.76,41.5,8,Highly Recommended
Edible Seaweed Film,10.2,9.2,100,0.53,1.2,2,Consider as Option
Virgin Plastic (PP),66.9,3.9,1.6,3.86,28.2,10,Avoid
Edible Seaweed Film,8.7,4,100,0.29,3.1,4,Consider as Option
Virgin Plastic (PP),78.9,6.1,1.6,4.61,13.2,10,Avoid
Bagasse (Sugarcane),26.3,7.9,98.8,0.91,53.1,5,Highly Recommended
Virgin Plastic (PP),81.7,3.9,4,5.03,23.8,10,Avoid
Edible Seaweed Film,8.9,2.5,100,0.31,3.2,2,Consider as Option
Virgin Plastic (PP),81.3,8.7,1.4,4.26,20.8,10,Avoid
Bamboo Fiber,58.8,9.1,95.9,0.82,33.8,8,Highly Recommended
Mushroom Mycelium,11.5,7.2,100,0.33,100,5,Highly Recommended
Mushroom Mycelium,19.7,3.8,100,0.35,100,4,Highly Recommended
Virgin Plastic (PP),86.3,7.3,4.6,5.09,28.4,10,Avoid
Aluminum Foil,40.5,4.8,0,8.56,94.5,10,Avoid
Aluminum Foil,43.2,7.9,0,9.52,93.1,10,Avoid
Aluminum Foil,39.8,6,0,10.04,90.2,10,Avoid
Mushroom Mycelium,15,0.7,100,0.18,100,6,Highly Recommended
Bioplastic (PLA),52.2,4.6,83,1.87,52.6,9,Highly Recommended
Bamboo Fiber,40.2,9.5,99.3,1.11,46,6,Highly Recommended
Mushroom Mycelium,15.9,9.4,100,0.39,100,6,Highly Recommended
Bioplastic (PLA),66.1,4.2,88.4,1.98,52.2,9,Highly Recommended
Bamboo Fiber,51.8,2.3,97.8,0.91,34.3,8,Highly Recommended
Edible Seaweed Film,9.3,3.8,100,0.3,4.7,2,Consider as Option
Mushroom Mycelium,22.3,8,100,0.37,100,5,Highly Recommended
Bamboo Fiber,47.9,1.5,98.1,1.1,30.3,8,Highly Recommended
Recycled Cardboard,28.9,0.6,99,1.02,98.1,4,Highly Recommended
Bamboo Fiber,56.6,5.6,96,0.77,46.6,7,Highly Recommended
Bagasse (Sugarcane),35.8,8.6,95.7,1.31,50.2,5,Highly Recommended
Recycled Cardboard,27,1.5,97,1.07,81.2,4,Highly Recommended
Aluminum Foil,29.3,7.3,0,8.92,90.5,10,Avoid
Bagasse (Sugarcane),39.6,2,99.9,1.15,52.5,7,Highly Recommended
Mushroom Mycelium,16.9,1.7,100,0.27,100,6,Highly Recommended
Mushroom Mycelium,23.1,7.4,100,0.23,100,4,Highly Recommended
Bamboo Fiber,50.8,4.4,97,0.79,35.6,7,Highly Recommended
Recycled Cardboard,22.3,1.8,97.5,1.12,82.9,4,Highly Recommended
Virgin Plastic (PP),80.3,8.7,2.4,5.27,22.9,10,Avoid
Bioplastic (PLA),65.2,1.9,87.1,2.34,59.9,8,Highly Recommended
Recycled Cardboard,28.9,2.8,99.4,1.25,81.5,5,Highly Recommended
Virgin Plastic (PP),73,10,2.3,4.85,26,10,Avoid
Bioplastic (PLA),50.3,8.4,86.2,1.79,57.3,9,Highly Recommended
Bagasse (Sugarcane),30.8,4.1,99.4,1.05,61.7,5,Highly Recommended
Virgin Plastic (PP),68.1,5.5,3.1,5.87,25.3,10,Avoid
Edible Seaweed Film,5.4,7.3,100,0.31,1.8,3,Consider as Option
Bamboo Fiber,57.4,1.7,96,1.18,49.4,6,Highly Recommended
Bioplastic (PLA),69.1,4.9,91.9,1.64,53.8,8,Highly Recommended
Virgin Plastic (PP),81.4,8.5,4.5,4.87,14.8,10,Avoid
Edible Seaweed Film,7.7,9.5,100,0.55,6.3,4,Consider as Option
Recycled Cardboard,30.3,7.6,98.4,1.04,86.8,5,Highly Recommended
Aluminum Foil,42.7,9.9,0,9.08,92.2,10,Avoid
Edible Seaweed Film,12.4,6,100,0.58,6.5,2,Consider as Option
Virgin Plastic (PP),78.2,9.5,3.9,4.88,10.2,10,Avoid
Mushroom Mycelium,11.4,4.8,100,0.36,100,4,Highly Recommended
Aluminum Foil,22.4,8.8,0,8.51,99.1,10,Avoid
Bioplastic (PLA),50.8,6.5,82.2,1.52,43.5,9,Highly Recommended
Edible Seaweed Film,9.6,5.3,100,0.28,9.8,4,Consider as Option
Mushroom Mycelium,19.9,1.8,100,0.39,100,4,Highly Recommended
Bamboo Fiber,44.1,10,98.5,0.99,38.5,6,Highly Recommended
Recycled Cardboard,29.6,8.1,95.2,1.25,84.4,3,Highly Recommended
Recycled Cardboard,28.2,1.5,94.4,1.04,91.4,4,Highly Recommended
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,Highly Recommended
Virgin Plastic (PP),84.9,3.5,4.3,4.21,10.9,10,Avoid
Bagasse (Sugarcane),27.3,7.5,99.3,1.39,65.3,6,Highly Recommended
Edible Seaweed Film,14,9.5,100,0.25,6.3,4,Consider as Option
Aluminum Foil,28.1,2.3,0,8.3,91,10,Avoid
Bagasse (Sugarcane),38.7,6.1,96.3,1.35,60.9,6,Highly Recommended
Mushroom Mycelium,13.5,2.8,100,0.37,100,4,Highly Recommended
Bioplastic (PLA),60.9,2.5,88.1,2.16,44.1,8,Consider as Option
Recycled Cardboard,30,2.4,91.4,0.94,85.7,5,Highly Recommended
Mushroom Mycelium,16.8,1.8,100,0.19,100,5,Highly Recommended
Bioplastic (PLA),67.1,8.7,84.6,1.52,42.4,9,Highly Recommended
Aluminum Foil,35,0.8,0,8.75,95,10,Avoid
Aluminum Foil,38,3,0,10.46,95.6,10,Avoid
Mushroom Mycelium,20.7,5.1,100,0.13,100,5,Highly Recommended
Aluminum Foil,28.5,5.1,0,8.68,94.2,10,Avoid
Aluminum Foil,20.6,8.8,0,11.31,99.5,10,Avoid
Mushroom Mycelium,22.4,0.6,100,0.18,100,6,Highly Recommended
Recycled Cardboard,31,4.6,97.6,1.23,91.8,3,Highly Recommended
Virgin Plastic (PP),76.6,8.3,2,5.36,15.5,10,Avoid
Bioplastic (PLA),71.1,3.2,86.3,2.05,40.6,8,Consider as Option
Edible Seaweed Film,11.8,1.6,100,0.38,1.9,3,Consider as Option
Bagasse (Sugarcane),30.4,4,95.7,1.03,62.4,5,Highly Recommended
Aluminum Foil,41.7,8.6,0,11.5,91.1,10,Avoid
Aluminum Foil,38.3,3.3,0,8.83,97.4,10,Avoid
Bamboo Fiber,51.7,6.4,96.3,0.9,43.6,8,Highly Recommended
Bagasse (Sugarcane),24.7,3.7,98.9,1.03,59.1,6,Highly Recommended
Bamboo Fiber,44,3.3,98.9,0.65,45.8,6,Highly Recommended
Mushroom Mycelium,13.4,8.6,100,0.13,100,5,Highly Recommended
Virgin Plastic (PP),69.3,2.1,0.4,5.38,15.1,10,Avoid
Virgin Plastic (PP),68.4,1.3,4.6,4.58,24.6,10,Avoid
Virgin Plastic (PP),79.6,7.5,3.2,5.82,14.1,10,Avoid
Aluminum Foil,42.2,3,0,11.36,90.7,10,Avoid
Virgin Plastic (PP),71.3,2.2,4.6,5.55,14.6,10,Avoid
Aluminum Foil,27.5,7.5,0,9.52,95.5,10,Avoid
Mushroom Mycelium,24.1,3.7,100,0.36,100,6,Highly Recommended
Recycled Cardboard,34.3,7.9,96,1.06,88.2,5,Highly Recommended
Bamboo Fiber,52.2,2.1,98,0.96,39.9,8,Highly Recommended
Recycled Cardboard,20.9,9.5,93.4,1.16,90.7,5,Highly Recommended
Virgin Plastic (PP),60.2,3.5,1.1,3.63,21.8,10,Avoid
Edible Seaweed Film,14.1,3.4,100,0.52,9.9,4,Consider as Option
Virgin Plastic (PP),79.6,6.4,1.3,3.84,28.8,10,Avoid
Mushroom Mycelium,14.9,1.2,100,0.26,100,6,Highly Recommended
Recycled Cardboard,25.7,2.2,95.5,1.13,94.2,4,Highly Recommended
Edible Seaweed Film,12.3,7,100,0.33,0.9,4,Consider as Option
Edible Seaweed Film,10.4,6.1,100,0.43,8.8,2,Consider as Option
Bamboo Fiber,44.2,2.1,97.5,0.69,33.2,6,Highly Recommended
Bagasse (Sugarcane),23.6,5.9,95.2,1.37,68.6,5,Highly Recommended
Bagasse (Sugarcane),34.5,7.3,97.8,1.39,50.7,5,Highly Recommended
Bamboo Fiber,49.3,3.7,97.9,0.88,49.5,7,Highly Recommended
Edible Seaweed Film,12.8,3.1,100,0.3,6.4,2,Consider as Option
Mushroom Mycelium,11.8,3.1,100,0.16,100,6,Highly Recommended
Virgin Plastic (PP),60.6,4,2,4.46,16.2,10,Avoid
Bagasse (Sugarcane),39.3,4.1,98.2,1.09,67,5,Highly Recommended
Virgin Plastic (PP),88.5,6.8,4.3,4.53,25.1,10,Avoid
Edible Seaweed Film,13.5,7.4,100,0.32,3.4,2,Consider as Option
Bamboo Fiber,53.2,3.2,95.9,0.55,35,7,Highly Recommended
Bagasse (Sugarcane),27.8,0.5,96.9,0.91,60.1,6,Highly Recommended
Virgin Plastic (PP),75.1,9.1,3.1,5.56,26.3,10,Avoid
Bioplastic (PLA),70.6,4,88.9,1.53,51.5,8,Highly Recommended
Virgin Plastic (PP),76.8,0.6,4,5.85,16.6,10,Avoid
Bamboo Fiber,50.1,4.5,96.9,1.05,46.8,6,Highly Recommended
Recycled Cardboard,16.9,9.5,99.6,1.44,99.2,3,Highly Recommended
Edible Seaweed Film,6.4,2.9,100,0.36,3.2,3,Consider as Option
Bioplastic (PLA),65,9.4,83.4,1.64,40.5,8,Consider as Option
Mushroom Mycelium,21.4,4,100,0.15,100,5,Highly Recommended
Bamboo Fiber,58.7,5.5,96.5,1.07,47.4,8,Highly Recommended
Mushroom Mycelium,12.8,7.8,100,0.13,100,6,Highly Recommended
Edible Seaweed Film,10.1,2.7,100,0.24,2.6,4,Consider as Option
Bagasse (Sugarcane),25,5.9,98.3,1.23,56.6,6,Highly Recommended
Mushroom Mycelium,23.1,6.2,100,0.21,100,4,Highly Recommended
Bamboo Fiber,45,3.1,99.3,0.93,44.1,8,Highly Recommended
Recycled Cardboard,18.8,7.3,93,1.47,89.4,5,Highly Recommended
Virgin Plastic (PP),79.3,2.4,2.4,4.86,13.7,10,Avoid
Bamboo Fiber,45.7,9.8,95.8,0.96,44.9,7,Highly Recommended
Edible Seaweed Film,11.8,2.1,100,0.33,2,2,Consider as Option
Recycled Cardboard,34.5,3.7,97.7,1.36,82,4,Highly Recommended
Bagasse (Sugarcane),25.5,0.6,95.9,1.18,52.7,6,Highly Recommended
Mushroom Mycelium,17.9,3.2,100,0.26,100,5,Highly Recommended
Bagasse (Sugarcane),34.9,7,99,1.38,52,7,Highly Recommended
Aluminum Foil,42.5,1.7,0,8.26,93.7,10,Avoid
Aluminum Foil,22.2,2.7,0,8.1,93.1,10,Avoid
Aluminum Foil,31.9,7.8,0,8.43,97.5,10,Avoid
Aluminum Foil,37.9,7.1,0,11.68,94.3,10,Avoid
Bioplastic (PLA),68.8,3.7,92.6,2.12,54.4,8,Highly Recommended
Virgin Plastic (PP),67.2,0.8,1.8,5.31,11.8,10,Avoid
Bamboo Fiber,53.4,8.7,96.3,1.08,32.1,8,Highly Recommended
Bamboo Fiber,58.4,5.7,99.4,1.01,33.7,8,Highly Recommended
Edible Seaweed Film,6.1,1.7,100,0.58,1.4,3,Consider as Option
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,Highly Recommended
Mushroom Mycelium,21.6,2.1,100,0.33,100,4,Highly Recommended
Mushroom Mycelium,20.7,1.3,100,0.12,100,5,Highly Recommended
Recycled Cardboard,15.5,9,98.6,0.9,91.9,4,Highly Recommended
Virgin Plastic (PP),88,5.6,0.8,3.86,27.9,10,Avoid
Bamboo Fiber,54.5,5.2,96.2,0.65,47.2,8,Highly Recommended
Bagasse (Sugarcane),31.2,1,99.9,1.38,53.8,6,Highly Recommended
Recycled Cardboard,20.9,3.8,92.7,1.34,94.1,5,Highly Recommended
Aluminum Foil,36.1,5.9,0,8.71,94.8,10,Avoid
Mushroom Mycelium,10.4,8.3,100,0.32,100,4,Highly Recommended
Bioplastic (PLA),50.8,4,89.8,2.02,45.8,8,Highly Recommended
Aluminum Foil,24.7,6,0,9.31,98.5,10,Avoid
Bioplastic (PLA),54,8.9,88.4,2.17,55.2,9,Highly Recommended
Aluminum Foil,32.4,6.7,0,11.42,90.5,10,Avoid
Bioplastic (PLA),60.4,3.9,88.7,2.42,58.2,9,Highly Recommended
Aluminum Foil,41.4,4,0,10.98,92.1,10,Avoid
Bioplastic (PLA),67.9,2.3,86.8,1.71,49.2,9,Highly Recommended
Mushroom Mycelium,18.3,4.5,100,0.37,100,6,Highly Recommended
Bamboo Fiber,50.7,6.6,98.8,0.54,30.5,7,Highly Recommended
Bioplastic (PLA),74,8,93.2,2.01,56.6,8,Highly Recommended
Bamboo Fiber,52.1,4.9,95,0.79,35.3,6,Highly Recommended
Recycled Cardboard,18.3,9.2,93.4,0.87,97.4,5,Highly Recommended
Virgin Plastic (PP),85.5,6.5,0.1,5.98,11.4,10,Avoid
Edible Seaweed Film,10.3,8.4,100,0.35,0.5,2,Consider as Option
Bagasse (Sugarcane),23.3,9.4,99.8,1.4,65.9,7,Highly Recommended
Recycled Cardboard,26.6,5.6,94.6,1.29,88.2,4,Highly Recommended
Mushroom Mycelium,18.5,6.2,100,0.26,100,6,Highly Recommended
Recycled Cardboard,22.4,3.3,95.3,1.23,95.2,5,Highly Recommended
Bioplastic (PLA),68.7,4.2,90.1,2,55.1,9,Highly Recommended
Mushroom Mycelium,13.1,4.9,100,0.36,100,4,Highly Recommended
Bamboo Fiber,43.1,8.4,95.1,1.1,49,6,Highly Recommended
Mushroom Mycelium,17.9,5.9,100,0.3,100,4,Highly Recommended
Bioplastic (PLA),73.5,2.6,82.3,2.46,56.5,8,Consider as Option
Bamboo Fiber,53.3,7.1,97.4,0.65,46.5,7,Highly Recommended
Bamboo Fiber,45.7,7.7,98.8,0.82,32.7,7,Highly Recommended
Recycled Cardboard,34,5.8,97.9,1.41,99.9,4,Highly Recommended
Bioplastic (PLA),53.9,10,86,1.5,45.3,9,Highly Recommended
Bagasse (Sugarcane),24,8.9,99.2,1.13,51.9,7,Highly Recommended
Virgin Plastic (PP),81.9,1.4,0.2,4.08,16.5,10,Avoid
Aluminum Foil,37.9,3.4,0,10.97,93.6,10,Avoid
Bamboo Fiber,50.7,8.6,95.2,1.08,38.8,8,Highly Recommended
Mushroom Mycelium,11.7,8.2,100,0.35,100,4,Highly Recommended
Edible Seaweed Film,9.5,8.9,100,0.5,7,2,Consider as Option
Recycled Cardboard,28.3,4.8,95.1,0.86,98.8,3,Highly Recommended
Aluminum Foil,27.3,1.7,0,10.44,96.9,10,Avoid
Bioplastic (PLA),55.3,1.3,90.4,1.55,55,9,Highly Recommended
Bioplastic (PLA),74.9,0.9,83.2,1.98,44.9,8,Consider as Option
Mushroom Mycelium,22.1,6.6,100,0.13,100,5,Highly Recommended
Mushroom Mycelium,21.7,1.4,100,0.22,100,6,Highly Recommended
Edible Seaweed Film,14.6,7.7,100,0.52,4.9,4,Consider as Option
Recycled Cardboard,24.2,3.7,91.7,1.08,89.5,5,Highly Recommended
Recycled Cardboard,32,3.9,90.4,1.48,84.1,3,Highly Recommended
Edible Seaweed Film,13.8,3.2,100,0.54,0.9,4,Consider as Option
Aluminum Foil,40,6.2,0,8.62,92,10,Avoid
Virgin Plastic (PP),72.4,7.4,2.5,4.07,10.6,10,Avoid
Bamboo Fiber,56.6,4.9,97.1,1.18,33.6,8,Highly Recommended
Mushroom Mycelium,15.5,4.7,100,0.28,100,4,Highly Recommended
Mushroom Mycelium,11.9,9.6,100,0.39,100,6,Highly Recommended
Bagasse (Sugarcane),24.2,4.7,97.2,1,58.3,7,Highly Recommended
Virgin Plastic (PP),81.9,5.1,2.6,4.75,12.8,10,Avoid
Bamboo Fiber,50.7,9.3,95.3,1.18,30.2,8,Highly Recommended
Bioplastic (PLA),63.7,7.7,87.4,1.68,54.6,8,Highly Recommended
Bamboo Fiber,53.2,6.6,95.3,0.8,40.4,8,Highly Recommended
Aluminum Foil,37.7,1.3,0,8.72,95.2,10,Avoid
Bamboo Fiber,57.2,5.3,96.7,0.92,48.9,6,Highly Recommended
Bioplastic (PLA),67.6,0.7,84.3,2.45,45.2,8,Consider as Option
Bioplastic (PLA),69.5,8,92,2.25,47.6,9,Highly Recommended
Aluminum Foil,22.3,9.7,0,9.75,94.3,10,Avoid
Recycled Cardboard,25.6,2.4,93.8,0.87,97.4,3,Highly Recommended
Aluminum Foil,20.7,7.4,0,9.68,93.5,10,Avoid
Bamboo Fiber,50.5,7.2,95.3,0.95,49,7,Highly Recommended
Edible Seaweed Film,8.5,1.2,100,0.44,2.1,4,Consider as Option
Bagasse (Sugarcane),36.4,6.9,98.4,1.07,56.8,6,Highly Recommended
Mushroom Mycelium,18.4,4.3,100,0.25,100,6,Highly Recommended
Edible Seaweed Film,14.8,2.4,100,0.47,2.1,2,Consider as Option
Recycled Cardboard,15.7,8.6,97.3,1.03,91,5,Highly Recommended
Mushroom Mycelium,11.2,2.6,100,0.2,100,6,Highly Recommended
Mushroom Mycelium,22.4,6.4,100,0.22,100,4,Highly Recommended
Mushroom Mycelium,19.3,5,100,0.32,100,6,Highly Recommended
Bamboo Fiber,49,3.1,98.2,1.06,36.3,7,Highly Recommended
Bioplastic (PLA),63.4,10,86.9,2.03,49.4,8,Highly Recommended
Mushroom Mycelium,18,0.8,100,0.29,100,6,Highly Recommended
Bioplastic (PLA),64.3,5,91.4,1.8,48,9,Highly Recommended
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,Highly Recommended
Bamboo Fiber,57.7,7.3,97.9,0.83,47.8,6,Highly Recommended
Recycled Cardboard,34.5,6.3,91.5,1.32,91.6,4,Highly Recommended
Mushroom Mycelium,13.2,4.5,100,0.39,100,5,Highly Recommended
Bioplastic (PLA),66,2.1,92.5,2.1,50.5,9,Highly Recommended
Bamboo Fiber,53.3,2.4,96.6,1.16,46.7,8,Highly Recommended
Recycled Cardboard,32.8,8.2,99.9,1.1,85.3,3,Highly Recommended
Recycled Cardboard,20.7,6.1,91.7,0.94,99.1,5,Highly Recommended
Bamboo Fiber,49.5,3,95.5,1.1,35.1,8,Highly Recommended
Edible Seaweed Film,12.8,4.2,100,0.58,2.2,4,Consider as Option
Bioplastic (PLA),54.6,3.7,92.9,2.18,52,8,Highly Recommended
Edible Seaweed Film,12.6,9.3,100,0.41,9.1,2,Consider as Option
Bamboo Fiber,49.8,9.4,98.8,0.73,49.2,7,Highly Recommended
Edible Seaweed Film,11.5,9.3,100,0.36,7.3,3,Consider as Option
Mushroom Mycelium,21.5,5.2,100,0.31,100,5,Highly Recommended
Mushroom Mycelium,16.2,4,100,0.18,100,6,Highly Recommended
Recycled Cardboard,20.5,7.4,94.5,1.23,96.9,3,Highly Recommended
Aluminum Foil,28.2,9.5,0,8.7,96.8,10,Avoid
Virgin Plastic (PP),67.7,3.6,1.1,5.53,13,10,Avoid
Edible Seaweed Film,14,3.9,100,0.55,7.2,3,Consider as Option
Mushroom Mycelium,17.7,3.7,100,0.18,100,6,Highly Recommended
Virgin Plastic (PP),88.7,0.7,0.4,5.61,21.2,10,Avoid
Bamboo Fiber,46.4,8.3,98.6,0.89,30.7,7,Highly Recommended
Bagasse (Sugarcane),33.4,8.4,98.6,1.18,52,5,Highly Recommended
Recycled Cardboard,27.5,2.3,90.1,1.08,83.2,5,Highly Recommended
Bamboo Fiber,41.9,9.8,97.2,0.79,34.6,8,Highly Recommended
Bamboo Fiber,48.6,3.2,96.8,0.63,36.2,6,Highly Recommended
Bioplastic (PLA),71,9.6,91,1.96,59,9,Highly Recommended
Edible Seaweed Film,7.3,7.9,100,0.51,2.3,4,Consider as Option
Edible Seaweed Film,10.9,5.7,100,0.29,5.2,3,Consider as Option
Bamboo Fiber,49.7,8.2,98.7,0.65,36.4,8,Highly Recommended
Bamboo Fiber,52.4,2.6,98.1,1.15,34.8,8,Highly Recommended
Bagasse (Sugarcane),32,3.3,99.1,1.27,51.1,6,Highly Recommended
Bamboo Fiber,51.2,3.1,99,0.75,36.1,8,Highly Recommended
Bamboo Fiber,54.6,3.9,97.7,0.61,31.7,8,Highly Recommended
Mushroom Mycelium,10.9,6.7,100,0.12,100,5,Highly Recommended
Recycled Cardboard,34.5,6.2,98.4,1.19,93.3,4,Highly Recommended
Bagasse (Sugarcane),21,5.1,99.2,1.17,58.7,5,Highly Recommended
Bagasse (Sugarcane),38.2,3.3,99.7,1.22,66.4,5,Highly Recommended
Mushroom Mycelium,24.2,6.5,100,0.37,100,5,Highly Recommended
Bioplastic (PLA),63.7,7.9,89.5,1.63,58.9,8,Highly Recommended
Mushroom Mycelium,19.1,7.1,100,0.39,100,6,Highly Recommended
Bagasse (Sugarcane),36.1,4.6,98.3,1.35,58.6,5,Highly Recommended
Bamboo Fiber,58,2.1,96.9,0.95,39.9,7,Highly Recommended
Bioplastic (PLA),51.2,10,94.5,2.32,41.2,8,Highly Recommended
Bioplastic (PLA),53.9,3.1,86.2,1.53,56.3,9,Highly Recommended
Virgin Plastic (PP),81.9,1.9,1.4,5.23,20.4,10,Avoid
Aluminum Foil,25.7,8.4,0,11.04,91.5,10,Avoid
Bioplastic (PLA),54.1,1.8,83.3,2.15,52.3,8,Consider as Option
Aluminum Foil,20.3,5.5,0,11.24,94.7,10,Avoid
Mushroom Mycelium,16.5,6.5,100,0.23,100,4,Highly Recommended
Bamboo Fiber,45.2,4.5,99.1,1,44.2,6,Highly Recommended
Mushroom Mycelium,22.4,1.9,100,0.16,100,4,Highly Recommended
Edible Seaweed Film,13.4,2.3,100,0.33,6.8,4,Consider as Option
Edible Seaweed Film,10.2,8.3,100,0.45,3.2,3,Consider as Option
Bioplastic (PLA),74.5,6.6,89.5,2.22,55.3,8,Highly Recommended
Recycled Cardboard,26.7,4.6,94.6,1.08,83.5,5,Highly Recommended
Aluminum Foil,37.2,0.7,0,11.51,92.7,10,Avoid
Bamboo Fiber,50.6,1,96.6,0.67,44.7,7,Highly Recommended
Virgin Plastic (PP),62.7,3.4,1.5,5.55,15.9,10,Avoid
Aluminum Foil,37.2,4.1,0,8.23,96.9,10,Avoid
Bamboo Fiber,55.1,1.9,95.6,0.96,49.3,7,Highly Recommended
Edible Seaweed Film,8.7,9.3,100,0.43,2.1,2,Consider as Option
Bagasse (Sugarcane),29.6,6.2,99,1.22,53.4,7,Highly Recommended
Edible Seaweed Film,12.3,5,100,0.34,2.5,2,Consider as Option
Edible Seaweed Film,13.9,5.5,100,0.41,2.2,3,Consider as Option
Mushroom Mycelium,12.1,3.1,100,0.33,100,4,Highly Recommended
Virgin Plastic (PP),60.3,9.2,4.3,4.38,21.1,10,Avoid
Aluminum Foil,44.9,4.1,0,9.33,99.2,10,Avoid
Mushroom Mycelium,11,8.3,100,0.22,100,5,Highly Recommended
Aluminum Foil,26.9,4.6,0,10.8,93.2,10,Avoid
Mushroom Mycelium,22,8,100,0.2,100,4,Highly Recommended
Recycled Cardboard,18.7,1.8,90,1.38,92.8,5,Highly Recommended
Mushroom Mycelium,22.1,3.8,100,0.26,100,5,Highly Recommended
Bagasse (Sugarcane),20.9,5.7,95.3,1.13,51.1,6,Highly Recommended
Bagasse (Sugarcane),31,6.4,95.9,0.96,69,7,Highly Recommended
Recycled Cardboard,33.8,8.8,99.6,1.04,97,4,Highly Recommended
Edible Seaweed Film,11.1,6.8,100,0.6,7.4,4,Consider as Option
Bioplastic (PLA),53.6,3.4,92.6,2.32,59,9,Highly Recommended
Mushroom Mycelium,20,5.7,100,0.25,100,6,Highly Recommended
Virgin Plastic (PP),65.9,5.3,2.7,5.39,22.5,10,Avoid
Aluminum Foil,33.8,5.6,0,11.32,96.8,10,Avoid
Virgin Plastic (PP),65.8,4.9,4.6,3.53,18.2,10,Avoid
Mushroom Mycelium,19.1,0.7,100,0.34,100,6,Highly Recommended
Bioplastic (PLA),72.8,5.2,93.8,1.9,56,9,Highly Recommended
Recycled Cardboard,28.7,6.3,91.4,1.13,91.4,3,Highly Recommended
Bamboo Fiber,40.1,4,96.1,0.82,43.7,8,Highly Recommended
Bioplastic (PLA),56,8.4,90.1,1.74,40.7,8,Highly Recommended
Bagasse (Sugarcane),29.4,6.8,97,0.95,50.5,7,Highly Recommended
Virgin Plastic (PP),70.3,0.8,3.1,5.44,18.2,10,Avoid
Bagasse (Sugarcane),38.9,1.1,99.9,0.97,56.9,7,Highly Recommended
Virgin Plastic (PP),70.2,8.9,3.3,4.52,20.3,10,Avoid
Bioplastic (PLA),50.9,4,86.5,2.01,50.9,9,Highly Recommended
Virgin Plastic (PP),76.5,3.3,2,4.68,25.9,10,Avoid
Bamboo Fiber,50.8,9.4,95.2,0.62,40.5,6,Highly Recommended
Virgin Plastic (PP),81.1,8.5,0.6,5.55,21.5,10,Avoid
Bagasse (Sugarcane),33.5,3.1,96.4,0.91,66.1,6,Highly Recommended
Recycled Cardboard,31.5,4.1,93.2,1.32,81.2,3,Highly Recommended
Virgin Plastic (PP),80.9,2.4,0.4,5.46,20.6,10,Avoid
Mushroom Mycelium,21.6,3.4,100,0.22,100,5,Highly Recommended
Recycled Cardboard,22,6,93.4,1.22,92.4,4,Highly Recommended
Mushroom Mycelium,11.7,7.6,100,0.2,100,4,Highly Recommended
Virgin Plastic (PP),73,6.5,4.1,5.42,10.5,10,Avoid
Virgin Plastic (PP),73.9,2.5,2.1,3.64,26.8,10,Avoid
Recycled Cardboard,32.2,6.2,90.1,1.05,80.5,5,Highly Recommended
Edible Seaweed Film,10.4,4.9,100,0.48,8.9,4,Consider as Option
Mushroom Mycelium,22,8.6,100,0.29,100,5,Highly Recommended
Bagasse (Sugarcane),39.7,6.8,99.2,1.12,61.5,5,Highly Recommended
Bioplastic (PLA),72.5,4.1,89.1,2.27,58.1,9,Highly Recommended
Mushroom Mycelium,12.2,9.9,100,0.33,100,5,Highly Recommended
Bioplastic (PLA),56.8,7.8,85.3,1.56,51,8,Highly Recommended
Aluminum Foil,33.4,2.6,0,9.7,99,10,Avoid
Aluminum Foil,26.4,4.8,0,8.75,98.1,10,Avoid
Virgin Plastic (PP),85.4,2.7,0.7,5.46,28.5,10,Avoid
Mushroom Mycelium,17.4,8.1,100,0.3,100,5,Highly Recommended
Edible Seaweed Film,9.5,4.4,100,0.4,9.1,3,Consider as Option
Bioplastic (PLA),55.6,1.2,91.3,2.01,40.3,8,Highly Recommended
Recycled Cardboard,19.6,2.9,90.5,1.37,82.8,4,Highly Recommended
Recycled Cardboard,19.3,7.5,91,0.97,93,3,Highly Recommended
Bagasse (Sugarcane),27.3,7,99.3,1.05,69.9,5,Highly Recommended
