material_id,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,moisture_barrier_grade,cost_per_unit,heat_resistance_c,flexibility_score
M03797,Recycled Cardboard,23.11,5.18,95.41,0.79,93.25,5,12.21,118,3
M03798,Recycled Cardboard,26.29,5.15,94.8,0.77,96.08,4,13.43,140,4
M03799,Recycled Cardboard,20.2,5.79,93.04,0.78,93.2,6,10.87,93,4
M03800,Recycled Cardboard,23.44,4.72,92.93,0.79,93.01,6,12.09,111,3
M03801,Recycled Cardboard,20.02,7.52,92.66,0.78,94.31,5,10.75,95,5
M03802,Recycled Cardboard,17.78,3.35,87.6,0.74,93.58,5,11.63,117,5
M03803,Recycled Cardboard,25.02,4.98,88.51,0.82,95.07,5,12.2,114,3
M03804,Recycled Cardboard,22.17,3.86,91.83,0.96,90.89,3,10.87,101,3
M03805,Recycled Cardboard,26.51,6.6,92.16,0.84,97.85,5,12.15,110,3
M03806,Recycled Cardboard,25.9,6.87,98.0,0.78,91.06,4,12.79,128,3
M03807,Recycled Cardboard,28.17,6.12,92.5,0.86,91.39,4,12.17,111,4
M03808,Recycled Cardboard,23.29,6.13,94.57,0.92,96.22,4,11.08,99,3
M03809,Recycled Cardboard,28.32,8.0,93.22,0.97,97.12,3,12.83,128,5
M03810,Recycled Cardboard,30.25,5.52,95.63,0.8,92.85,4,13.28,129,5
M03811,Recycled Cardboard,33.33,5.53,91.94,0.99,92.35,4,12.83,114,3
M03812,Recycled Cardboard,24.91,6.56,92.03,0.83,94.79,4,13.19,138,4
M03813,Recycled Cardboard,34.1,6.64,91.29,0.79,95.32,4,13.81,132,4
M03814,Recycled Cardboard,31.13,7.7,89.83,0.76,92.29,3,12.36,113,4
M03815,Recycled Cardboard,21.81,8.0,86.05,0.7,95.22,4,11.93,119,3
M03816,Recycled Cardboard,21.42,8.0,94.0,0.81,91.6,4,11.94,120,3
M03817,Recycled Cardboard,17.19,3.98,96.4,0.87,91.07,5,11.67,119,3
M03818,Recycled Cardboard,16.54,5.55,93.07,0.71,94.36,4,10.9,109,5
M03819,Recycled Cardboard,21.34,6.42,95.9,0.7,95.11,5,11.48,107,5
M03820,Recycled Cardboard,23.75,5.9,93.92,0.7,93.04,5,12.53,123,4
M03821,Recycled Cardboard,23.95,6.54,93.46,0.8,93.65,4,11.45,105,4
M03822,Recycled Cardboard,32.2,3.83,88.05,0.98,96.19,6,12.77,107,3
M03823,Recycled Cardboard,15.0,8.0,91.16,0.74,94.57,4,10.45,103,3
M03824,Recycled Cardboard,34.37,4.08,97.71,0.79,95.02,6,12.99,107,3
M03825,Recycled Cardboard,26.04,5.11,95.56,0.87,94.65,3,11.2,100,3
M03826,Recycled Cardboard,19.93,5.14,89.24,0.95,93.76,5,11.69,114,4
M03827,Recycled Cardboard,25.63,3.77,94.99,0.94,96.33,5,11.96,108,3
M03828,Recycled Cardboard,28.03,6.13,92.07,0.8,91.49,5,10.8,80,3
M03829,Recycled Cardboard,31.06,7.88,95.89,0.84,95.98,5,13.11,120,4
M03830,Recycled Cardboard,24.62,4.23,90.52,0.98,95.41,3,12.16,122,5
M03831,Recycled Cardboard,16.73,7.04,91.04,0.81,98.38,5,10.92,105,3
M03832,Recycled Cardboard,21.91,7.92,94.66,0.85,94.61,6,11.99,112,3
M03833,Recycled Cardboard,22.01,6.89,89.16,0.83,96.38,6,12.05,113,3
M03834,Recycled Cardboard,24.32,4.68,93.6,0.7,94.81,6,11.78,103,3
M03835,Recycled Cardboard,27.52,4.73,89.95,0.91,93.42,6,12.15,104,3
M03836,Recycled Cardboard,28.98,6.19,89.86,0.74,91.96,4,11.35,93,5
M03837,Recycled Cardboard,27.32,5.35,89.43,0.91,91.26,5,13.48,135,3
M03838,Recycled Cardboard,28.05,4.84,92.43,0.89,99.11,5,12.11,106,3
M03839,Recycled Cardboard,23.08,8.0,92.96,0.77,97.28,4,11.16,101,3
M03840,Recycled Cardboard,22.37,8.0,92.85,0.97,91.52,4,11.94,118,4
M03841,Recycled Cardboard,25.85,5.94,90.55,1.0,94.51,5,12.14,111,3
M03842,Recycled Cardboard,20.9,5.68,93.89,0.7,93.45,4,12.69,136,4
M03843,Recycled Cardboard,27.57,8.0,88.61,0.76,90.74,5,12.66,118,4
M03844,Recycled Cardboard,20.25,3.0,98.0,0.79,92.31,4,11.13,106,3
M03845,Recycled Cardboard,25.46,6.27,94.1,0.87,98.68,4,12.85,130,3
M03846,Recycled Cardboard,28.59,7.11,93.17,1.0,94.01,3,11.96,110,3
M03847,Recycled Cardboard,22.43,6.11,89.29,0.73,88.53,5,10.59,87,4
M03848,Recycled Cardboard,16.79,6.31,91.43,0.7,92.01,5,10.68,100,4
M03849,Recycled Cardboard,28.56,7.93,88.3,0.82,98.57,3,12.06,112,3
M03850,Recycled Cardboard,24.59,6.75,91.03,1.0,90.73,4,11.81,111,4
M03851,Recycled Cardboard,19.26,6.45,91.54,0.82,93.15,4,11.43,114,3
M03852,Recycled Cardboard,26.76,4.75,89.12,0.99,95.33,5,11.88,104,4
M03853,Recycled Cardboard,20.85,6.73,86.25,0.83,96.02,5,12.49,128,4
M03854,Recycled Cardboard,17.85,5.72,91.89,0.77,92.18,4,10.79,104,3
M03855,Recycled Cardboard,18.62,3.0,91.77,0.7,95.3,4,10.96,106,3
M03856,Recycled Cardboard,29.66,5.41,87.59,0.75,93.31,5,12.97,120,3
M03857,Recycled Cardboard,25.22,7.19,94.43,0.85,93.63,5,12.72,124,3
M03858,Recycled Cardboard,33.6,3.48,88.27,0.94,96.68,5,12.16,96,3
M03859,Recycled Cardboard,19.96,6.31,94.66,0.8,93.55,5,11.15,103,4
M03860,Recycled Cardboard,28.02,6.53,92.86,1.0,93.63,4,11.55,99,3
M03861,Recycled Cardboard,15.0,6.38,88.93,0.7,93.89,5,11.15,113,6
M03862,Recycled Cardboard,30.7,5.48,88.93,0.76,91.91,5,12.82,115,3
M03863,Recycled Cardboard,26.7,5.55,87.79,0.93,97.03,5,11.82,103,5
M03864,Recycled Cardboard,19.73,8.0,93.43,0.81,94.69,6,11.87,114,3
M03865,Recycled Cardboard,21.93,7.06,90.89,0.96,92.07,3,11.09,106,4
M03866,Recycled Cardboard,22.15,8.0,90.37,0.77,91.53,5,12.12,118,3
M03867,Recycled Cardboard,27.31,7.39,93.76,0.77,92.61,4,12.08,111,4
M03868,Recycled Cardboard,28.36,5.2,92.48,0.93,96.29,5,12.94,122,4
M03869,Recycled Cardboard,23.15,3.17,90.9,0.79,95.06,4,11.71,112,4
M03870,Recycled Cardboard,19.42,6.6,92.2,0.7,90.88,5,12.04,122,3
M03871,Recycled Cardboard,26.54,6.86,91.57,0.72,90.07,4,12.75,126,5
M03872,Recycled Cardboard,28.19,4.73,88.38,0.78,90.44,5,11.72,98,4
M03873,Recycled Cardboard,20.24,3.22,92.07,0.76,95.73,4,11.52,114,4
M03874,Recycled Cardboard,25.16,5.99,92.28,0.76,97.81,3,12.37,125,3
M03875,Recycled Cardboard,19.57,4.48,90.12,0.95,93.26,5,11.21,105,4
M03876,Recycled Cardboard,26.06,8.0,92.67,0.82,90.45,6,12.36,111,4
M03877,Recycled Cardboard,23.73,6.5,89.07,0.7,90.8,3,11.67,114,4
M03878,Recycled Cardboard,22.5,7.4,91.17,0.71,91.19,3,11.05,104,3
M03879,Recycled Cardboard,25.68,5.22,88.55,0.8,98.91,5,12.27,114,4
M03880,Recycled Cardboard,23.23,6.58,96.89,0.81,96.07,3,10.42,90,3
M03881,Recycled Cardboard,33.9,8.0,90.31,1.0,98.14,3,11.89,98,3
M03882,Recycled Cardboard,23.85,6.36,93.07,0.76,96.55,5,13.38,140,3
M03883,Recycled Cardboard,25.78,8.0,92.71,0.9,100.0,5,12.58,120,3
M03884,Recycled Cardboard,32.15,8.0,90.48,0.81,92.8,5,14.21,140,3
M03885,Recycled Cardboard,29.05,6.05,90.76,0.93,95.71,3,11.9,108,4
M03886,Recycled Cardboard,22.47,6.0,92.63,0.9,96.42,3,11.35,110,4
M03887,Recycled Cardboard,23.4,3.09,95.09,0.83,100.0,4,11.39,105,3
M03888,Recycled Cardboard,27.63,7.06,86.44,0.77,99.83,6,13.31,127,4
M03889,Recycled Cardboard,24.93,8.0,89.54,1.0,94.07,4,10.54,85,5
M03890,Recycled Cardboard,18.09,6.19,92.82,0.72,90.93,5,11.81,120,4
M03891,Recycled Cardboard,30.18,5.24,98.0,0.84,93.49,5,12.52,110,4
M03892,Recycled Cardboard,29.9,8.0,93.76,0.81,87.95,4,10.79,80,5
M03893,Recycled Cardboard,24.06,5.7,91.78,0.99,89.9,3,10.26,85,4
M03894,Recycled Cardboard,26.94,5.95,85.74,0.72,94.95,5,13.29,132,5
M03895,Recycled Cardboard,25.41,6.89,92.4,0.83,97.97,5,12.49,119,3
M03896,Recycled Cardboard,16.28,5.58,88.25,0.7,91.74,3,10.38,103,3
M03897,Recycled Cardboard,27.51,5.73,94.1,0.91,97.92,4,12.0,109,3
M03898,Recycled Cardboard,24.73,7.46,93.09,0.8,88.97,4,11.37,102,3
M03899,Recycled Cardboard,25.27,7.25,87.18,0.95,99.49,4,12.23,118,3
M03900,Recycled Cardboard,33.88,5.82,91.88,1.0,96.1,6,14.49,138,3
M03901,Recycled Cardboard,19.27,5.23,86.62,0.78,98.3,7,10.78,89,3
M03902,Recycled Cardboard,19.61,7.4,92.57,0.7,89.63,5,11.56,112,5
M03903,Recycled Cardboard,22.62,5.68,92.46,0.97,92.9,3,11.11,105,3
M03904,Recycled Cardboard,28.41,5.31,91.83,0.87,90.71,4,11.84,104,3
M03905,Recycled Cardboard,26.39,5.21,89.91,0.88,93.43,5,12.44,116,5
M03906,Recycled Cardboard,25.46,6.25,98.0,0.96,95.24,5,12.15,112,3
M03907,Recycled Cardboard,31.48,6.79,93.92,0.84,91.23,3,12.25,110,5
M03908,Recycled Cardboard,35.0,7.01,89.44,1.0,93.89,4,13.35,121,3
M03909,Recycled Cardboard,28.85,4.68,90.77,0.87,92.62,4,11.09,88,4
M03910,Recycled Cardboard,35.0,7.21,91.55,1.0,96.67,4,12.4,102,3
M03911,Recycled Cardboard,28.78,6.39,91.64,0.88,93.92,3,12.58,122,4
M03912,Recycled Cardboard,26.62,3.61,93.53,0.8,92.52,5,13.56,138,3
M03913,Recycled Cardboard,29.62,5.44,97.51,0.86,92.35,4,11.71,99,3
M03914,Recycled Cardboard,18.91,5.58,85.87,0.79,92.31,3,11.69,124,3
M03915,Recycled Cardboard,23.59,4.46,89.38,0.89,89.05,4,11.71,111,3
M03916,Recycled Cardboard,23.47,4.9,87.48,0.79,90.82,5,12.1,115,3
M03917,Recycled Cardboard,23.7,5.44,94.76,0.88,92.17,6,11.97,108,4
M03918,Recycled Cardboard,18.14,6.66,87.68,0.86,90.23,4,11.11,110,3
M03919,Recycled Cardboard,23.39,3.0,94.63,0.81,95.14,4,11.44,106,3
M03920,Recycled Cardboard,26.43,6.01,90.54,1.0,92.66,7,13.09,121,4
M03921,Recycled Cardboard,27.32,6.42,91.53,0.79,94.96,6,12.23,106,4
M03922,Recycled Cardboard,15.0,5.93,93.76,0.77,92.4,4,11.1,116,4
M03923,Recycled Cardboard,31.83,5.0,89.71,0.89,91.39,7,13.78,124,3
M03924,Recycled Cardboard,24.21,6.71,93.61,0.7,94.81,4,12.07,117,4
M03925,Recycled Cardboard,30.14,4.85,86.99,0.78,100.0,4,12.46,113,3
M03926,Recycled Cardboard,15.89,5.64,92.0,0.85,93.14,5,11.59,120,5
M03927,Recycled Cardboard,22.63,8.0,92.35,0.7,98.9,5,11.11,97,4
M03928,Recycled Cardboard,21.94,3.79,93.41,0.7,99.22,6,12.74,127,3
M03929,Recycled Cardboard,27.08,6.6,90.38,0.72,95.6,4,11.61,102,3
M03930,Recycled Cardboard,30.55,8.0,89.59,0.82,90.33,5,12.21,103,3
M03931,Recycled Cardboard,20.41,6.89,97.36,0.94,96.4,5,12.04,120,4
M03932,Recycled Cardboard,22.8,8.0,93.5,0.85,95.6,6,10.68,84,3
M03933,Recycled Cardboard,31.13,5.48,97.31,0.84,96.3,3,11.91,104,4
M03934,Recycled Cardboard,20.45,5.61,91.35,0.7,90.76,4,12.05,124,3
M03935,Recycled Cardboard,33.54,3.88,92.62,0.99,96.62,5,11.9,91,3
M03936,Recycled Cardboard,18.29,5.78,92.1,0.7,89.55,4,12.13,130,3
M03937,Recycled Cardboard,19.09,3.47,88.67,0.8,90.32,4,10.16,89,4
M03938,Recycled Cardboard,23.68,4.21,91.58,0.81,99.21,5,11.17,96,3
M03939,Recycled Cardboard,30.53,4.25,91.8,0.96,92.96,4,11.6,95,3
M03940,Recycled Cardboard,25.13,6.31,98.0,0.95,91.4,5,12.66,123,5
M03941,Recycled Cardboard,22.92,3.91,88.53,0.87,93.86,4,12.39,126,3
M03942,Recycled Cardboard,29.08,5.37,92.41,0.86,93.72,5,10.91,80,5
M03943,Recycled Cardboard,25.22,7.58,94.98,0.93,97.87,5,13.52,140,4
M03944,Recycled Cardboard,16.47,4.04,92.49,0.91,96.06,6,11.55,114,3
M03945,Recycled Cardboard,15.0,4.21,92.96,0.7,92.71,4,10.5,104,3
M03946,Recycled Cardboard,30.7,6.81,90.48,0.98,94.13,5,12.77,114,4
M03947,Recycled Cardboard,16.63,8.0,89.02,0.81,96.83,3,10.66,108,3
M03948,Recycled Cardboard,15.0,6.94,92.1,0.75,96.46,4,9.6,86,4
M03949,Recycled Cardboard,28.35,7.4,87.76,0.95,95.04,3,11.94,110,3
M03950,Recycled Cardboard,28.68,5.22,92.44,0.89,92.19,4,12.12,109,4
M03951,Recycled Cardboard,25.91,4.02,90.07,0.73,93.85,4,11.24,97,3
M03952,Recycled Cardboard,26.18,5.35,91.07,0.82,95.96,4,11.57,103,4
M03953,Recycled Cardboard,27.82,8.0,92.49,0.84,94.01,4,12.58,120,4
M03954,Recycled Cardboard,24.56,6.68,92.99,0.93,97.02,4,12.71,129,4
M03955,Recycled Cardboard,28.33,6.88,90.69,0.88,94.11,6,11.83,96,5
M03956,Recycled Cardboard,25.36,4.43,90.21,0.76,96.04,5,12.69,123,5
M03957,Recycled Cardboard,22.53,6.89,88.26,0.96,96.91,3,11.05,104,4
M03958,Recycled Cardboard,22.29,6.73,91.04,0.94,95.14,3,10.38,91,3
M03959,Recycled Cardboard,25.28,4.09,96.17,0.93,94.39,3,11.88,115,3
M03960,Recycled Cardboard,34.39,8.0,93.39,1.0,89.09,4,12.19,99,4
M03961,Recycled Cardboard,28.2,6.25,92.56,0.92,93.38,5,12.52,114,3
M03962,Recycled Cardboard,17.27,6.58,97.25,0.71,93.58,5,11.33,112,3
M03963,Recycled Cardboard,35.0,7.0,85.27,0.85,92.64,4,12.3,100,4
M03964,Recycled Cardboard,22.28,3.67,91.76,0.78,95.12,4,10.83,96,5
M03965,Recycled Cardboard,26.78,5.09,91.19,0.81,100.0,5,12.18,110,3
M03966,Recycled Cardboard,17.91,7.05,92.14,0.86,91.89,5,10.84,101,3
M03967,Recycled Cardboard,30.58,6.49,92.6,0.94,93.78,5,12.61,111,3
M03968,Recycled Cardboard,28.2,7.45,89.62,0.89,93.83,6,12.47,109,6
M03969,Recycled Cardboard,29.0,5.31,93.65,1.0,89.38,5,11.75,97,4
M03970,Recycled Cardboard,23.64,5.9,89.02,0.91,91.51,3,11.26,106,4
M03971,Recycled Cardboard,30.68,6.98,91.98,0.76,90.11,4,10.92,81,5
M03972,Recycled Cardboard,27.24,7.56,92.06,0.86,90.71,4,11.77,105,3
M03973,Recycled Cardboard,35.0,5.9,94.2,0.9,94.71,4,12.7,108,5
M03974,Recycled Cardboard,26.89,7.25,90.46,0.83,93.27,3,10.69,88,4
M03975,Recycled Cardboard,27.48,6.49,92.74,1.0,99.07,4,12.6,121,5
M03976,Recycled Cardboard,19.84,5.98,90.88,0.95,96.34,5,11.23,105,3
M03977,Recycled Cardboard,21.2,8.0,91.42,0.88,96.93,5,11.52,108,4
M03978,Recycled Cardboard,18.08,6.18,91.8,0.76,93.12,6,11.26,105,3
M03979,Recycled Cardboard,15.0,5.15,93.21,0.9,91.19,4,12.3,140,4
M03980,Recycled Cardboard,26.31,5.28,90.93,0.79,98.47,4,11.93,110,4
M03981,Recycled Cardboard,29.97,8.0,94.05,0.88,92.49,5,11.8,96,3
M03982,Recycled Cardboard,25.84,6.22,94.0,0.77,91.27,5,12.78,124,3
M03983,Recycled Cardboard,17.42,6.42,89.46,0.72,96.7,5,12.24,130,3
M03984,Recycled Cardboard,24.41,8.0,92.49,0.87,97.27,5,12.84,128,3
M03985,Recycled Cardboard,32.05,6.74,89.54,0.86,88.24,5,11.75,91,4
M03986,Recycled Cardboard,21.94,6.01,93.61,0.85,91.21,4,10.69,94,4
M03987,Recycled Cardboard,20.73,6.14,91.49,0.76,96.14,5,11.57,110,3
M03988,Recycled Cardboard,27.24,5.33,91.98,0.81,95.33,3,12.12,116,5
M03989,Recycled Cardboard,27.32,7.25,89.57,0.9,95.36,3,13.23,138,3
M03990,Recycled Cardboard,19.45,5.6,90.79,0.94,90.85,4,10.8,101,4
M03991,Recycled Cardboard,26.42,6.17,93.19,0.75,89.97,5,11.99,107,4
M03992,Recycled Cardboard,15.76,5.91,91.31,0.71,97.14,5,10.73,103,3
M03993,Recycled Cardboard,27.37,6.86,90.46,0.88,90.41,6,11.24,86,3
M03994,Recycled Cardboard,17.06,8.0,92.95,0.72,94.68,4,10.31,96,3
M03995,Recycled Cardboard,24.54,7.47,90.81,0.82,95.47,4,10.35,82,5
M03996,Recycled Cardboard,30.17,4.56,91.88,0.91,92.06,5,12.72,114,3
M03997,Recycled Cardboard,17.05,6.04,91.88,0.74,96.66,6,11.61,114,3
M03998,Recycled Cardboard,25.6,6.31,92.79,0.88,93.39,6,13.11,127,3
M03999,Recycled Cardboard,30.84,5.96,86.24,0.76,96.03,3,11.08,88,3
M04000,Recycled Cardboard,19.75,4.51,94.61,0.8,96.78,5,11.82,117,4
M04001,Bagasse,29.43,6.86,95.01,1.3,68.85,5,14.54,142,4
M04002,Bagasse,35.33,7.59,96.92,1.25,66.86,6,15.48,145,4
M04003,Bagasse,37.88,7.45,94.43,1.21,70.05,6,15.14,133,4
M04004,Bagasse,30.08,4.63,94.86,1.36,60.26,5,14.46,139,5
M04005,Bagasse,27.83,8.99,99.72,1.27,70.55,5,15.28,160,3
M04006,Bagasse,30.57,9.0,95.6,1.32,68.79,4,14.11,135,3
M04007,Bagasse,29.44,6.27,98.21,1.26,70.43,7,13.39,111,6
M04008,Bagasse,30.27,4.83,94.56,1.35,71.38,6,14.18,129,4
M04009,Bagasse,26.22,6.19,98.97,1.03,70.46,6,12.72,108,6
M04010,Bagasse,29.75,6.05,92.77,1.48,65.26,5,13.03,111,6
M04011,Bagasse,36.68,7.71,95.4,1.08,70.07,7,15.12,131,5
M04012,Bagasse,34.22,5.16,96.69,1.14,68.83,5,15.27,147,6
M04013,Bagasse,25.74,7.59,96.11,1.12,66.02,6,13.72,129,5
M04014,Bagasse,30.33,5.71,100.0,1.3,70.34,6,14.58,137,4
M04015,Bagasse,20.0,7.18,97.85,1.0,67.47,5,12.85,127,3
M04016,Bagasse,26.89,5.38,95.4,1.16,64.07,5,13.09,118,4
M04017,Bagasse,40.0,7.05,100.0,1.37,65.42,6,15.6,138,4
M04018,Bagasse,28.36,4.79,97.82,1.2,69.13,4,13.94,136,6
M04019,Bagasse,28.57,5.98,97.67,1.27,65.65,7,13.81,121,4
M04020,Bagasse,33.32,7.2,94.94,1.29,62.28,6,16.03,160,5
M04021,Bagasse,29.47,5.88,97.66,1.35,62.63,6,14.05,128,5
M04022,Bagasse,32.63,8.2,97.32,1.32,68.26,6,14.71,135,3
M04023,Bagasse,26.59,4.71,96.06,1.08,67.19,5,13.86,134,3
M04024,Bagasse,27.06,8.77,96.11,1.21,67.98,5,13.56,127,5
M04025,Bagasse,30.14,8.39,93.67,1.29,70.28,6,13.71,120,5
M04026,Bagasse,38.05,4.0,93.99,1.08,67.67,6,15.95,149,4
M04027,Bagasse,36.27,5.53,96.44,1.37,73.08,7,14.48,119,3
M04028,Bagasse,21.87,6.46,93.1,1.07,69.46,6,13.79,138,4
M04029,Bagasse,21.23,5.96,93.05,1.17,66.13,5,12.02,108,5
M04030,Bagasse,33.38,5.49,98.87,1.38,69.69,4,14.14,130,3
M04031,Bagasse,25.38,5.41,95.57,1.0,61.56,6,14.29,141,3
M04032,Bagasse,28.09,6.01,95.51,1.48,66.26,6,14.81,146,5
M04033,Bagasse,33.75,6.23,100.0,1.21,69.97,5,14.93,141,3
M04034,Bagasse,21.08,5.7,97.93,1.11,65.68,5,11.61,100,5
M04035,Bagasse,40.0,5.57,99.02,1.38,71.78,4,15.25,139,5
M04036,Bagasse,29.28,8.32,94.93,1.29,69.39,7,12.83,100,4
M04037,Bagasse,23.55,5.94,99.47,1.28,64.68,4,14.06,148,5
M04038,Bagasse,29.41,7.8,95.8,1.32,70.31,6,14.09,129,5
M04039,Bagasse,34.42,6.84,96.87,1.21,64.55,6,15.04,138,6
M04040,Bagasse,33.76,7.83,97.22,1.04,67.0,4,13.93,125,3
M04041,Bagasse,25.75,6.59,100.0,1.12,66.42,5,14.78,154,3
M04042,Bagasse,33.85,7.79,96.28,1.2,60.55,4,14.39,134,5
M04043,Bagasse,23.8,6.83,97.58,1.0,66.48,4,13.58,138,3
M04044,Bagasse,40.0,6.47,94.11,1.17,69.67,4,14.4,122,4
M04045,Bagasse,34.26,6.5,95.65,1.18,68.71,5,14.38,129,4
M04046,Bagasse,40.0,7.53,93.88,1.34,67.19,4,14.3,120,5
M04047,Bagasse,28.75,7.51,94.43,1.48,65.76,5,14.23,137,4
M04048,Bagasse,40.0,9.0,100.0,1.1,75.0,7,15.1,124,4
M04049,Bagasse,40.0,5.79,93.36,1.19,71.2,6,14.8,122,5
M04050,Bagasse,20.92,5.25,92.67,1.34,73.12,4,12.19,116,5
M04051,Bagasse,30.97,6.54,94.33,1.28,61.05,6,15.65,157,3
M04052,Bagasse,29.85,7.43,95.04,1.37,66.85,6,14.98,146,4
M04053,Bagasse,24.35,7.19,98.19,1.27,65.24,6,13.59,129,3
M04054,Bagasse,33.02,6.63,94.14,1.34,67.34,5,14.8,140,4
M04055,Bagasse,31.11,9.0,97.09,1.17,67.52,7,13.81,116,3
M04056,Bagasse,25.33,6.19,96.57,1.19,68.84,7,13.73,126,3
M04057,Bagasse,25.26,8.06,95.47,1.29,69.81,5,14.43,148,5
M04058,Bagasse,37.18,6.61,98.28,1.33,67.16,7,16.62,160,3
M04059,Bagasse,33.51,7.23,96.46,1.2,60.0,6,15.1,141,4
M04060,Bagasse,26.19,5.98,95.42,1.18,75.0,7,13.92,128,3
M04061,Bagasse,28.81,9.0,94.34,1.26,70.11,6,15.03,149,5
M04062,Bagasse,29.72,8.11,97.63,1.34,67.25,4,14.32,141,4
M04063,Bagasse,21.45,5.91,97.26,1.33,64.43,6,14.29,149,4
M04064,Bagasse,30.67,7.59,95.82,1.19,61.71,6,13.62,117,6
M04065,Bagasse,35.18,8.06,98.59,1.23,63.94,5,14.27,125,4
M04066,Bagasse,29.48,5.77,97.29,1.25,72.08,5,12.6,103,7
M04067,Bagasse,32.19,6.86,94.7,1.02,72.23,6,15.87,159,4
M04068,Bagasse,28.14,5.87,97.47,1.35,62.46,5,12.71,108,6
M04069,Bagasse,30.86,6.19,96.83,1.01,60.1,7,13.94,119,4
M04070,Bagasse,24.2,8.4,95.27,1.17,72.38,5,13.17,125,3
M04071,Bagasse,38.5,8.19,94.36,1.5,64.63,5,15.3,139,5
M04072,Bagasse,25.87,5.73,93.0,1.06,65.29,5,13.84,135,5
M04073,Bagasse,26.0,8.81,96.6,1.24,66.53,7,13.6,122,5
M04074,Bagasse,30.75,8.73,98.17,1.24,66.01,4,14.93,151,4
M04075,Bagasse,22.23,5.48,99.19,1.27,65.29,4,11.52,100,4
M04076,Bagasse,29.0,7.94,97.64,1.0,70.09,6,13.85,125,5
M04077,Bagasse,27.97,8.37,96.51,1.28,67.01,6,15.5,160,4
M04078,Bagasse,34.3,8.31,99.29,1.3,60.0,6,14.48,127,4
M04079,Bagasse,28.31,8.19,96.58,1.0,69.3,6,14.43,138,5
M04080,Bagasse,28.49,7.78,96.19,1.46,73.02,5,13.0,113,4
M04081,Bagasse,33.05,6.39,97.62,1.38,66.39,4,15.11,150,4
M04082,Bagasse,28.96,8.34,97.23,1.42,63.08,4,13.85,133,5
M04083,Bagasse,33.06,5.76,95.27,1.33,73.14,5,14.56,135,4
M04084,Bagasse,27.03,7.23,97.5,1.07,70.23,6,13.15,115,5
M04085,Bagasse,26.5,6.22,92.46,1.25,65.2,5,13.75,132,4
M04086,Bagasse,27.03,8.05,96.42,1.19,65.99,7,14.35,135,4
M04087,Bagasse,29.26,5.6,98.85,1.3,67.26,5,13.78,127,3
M04088,Bagasse,34.34,7.11,96.41,1.13,70.7,6,13.83,114,5
M04089,Bagasse,33.23,6.9,93.3,1.34,63.81,8,15.02,132,4
M04090,Bagasse,26.78,4.98,97.17,1.28,65.32,6,13.93,131,5
M04091,Bagasse,24.18,8.53,96.59,1.29,68.07,8,14.42,138,3
M04092,Bagasse,29.58,8.2,98.79,1.32,65.87,7,13.81,119,4
M04093,Bagasse,37.33,6.26,95.48,1.5,68.68,6,14.33,118,4
M04094,Bagasse,26.21,6.39,93.7,1.17,68.54,7,13.57,121,7
M04095,Bagasse,33.16,5.83,99.52,1.3,70.69,6,15.17,143,5
M04096,Bagasse,37.27,5.49,97.83,1.16,67.16,6,15.23,136,5
M04097,Bagasse,24.8,5.71,98.25,1.0,63.53,6,13.28,122,5
M04098,Bagasse,27.14,7.27,95.29,1.31,71.05,5,14.76,151,4
M04099,Bagasse,32.7,6.32,96.71,1.43,68.63,6,15.52,151,3
M04100,Bagasse,26.9,6.93,96.6,1.0,73.39,7,14.34,135,5
M04101,Bagasse,26.97,4.0,98.41,1.46,69.26,5,14.15,139,3
M04102,Bagasse,30.22,6.51,93.5,1.41,73.64,5,14.22,134,5
M04103,Bagasse,32.03,4.42,95.6,1.45,69.87,4,14.25,135,4
M04104,Bagasse,28.82,7.33,97.52,1.05,70.23,4,13.28,122,5
M04105,Bagasse,25.81,6.96,92.45,1.3,75.0,4,14.08,144,7
M04106,Bagasse,29.45,8.8,93.88,1.1,69.13,5,14.35,138,5
M04107,Bagasse,29.78,7.16,99.69,1.28,68.77,5,15.48,160,4
M04108,Bagasse,26.46,6.6,95.37,1.14,71.49,4,13.85,138,5
M04109,Bagasse,29.27,5.65,98.96,1.27,71.14,5,13.53,122,5
M04110,Bagasse,29.96,9.0,94.25,1.3,71.42,6,14.6,138,4
M04111,Bagasse,25.27,7.09,94.84,1.07,65.78,8,14.03,128,4
M04112,Bagasse,26.54,9.0,94.92,1.22,62.41,6,13.9,131,6
M04113,Bagasse,22.02,5.4,97.88,1.28,65.73,5,11.7,100,4
M04114,Bagasse,29.76,6.03,96.96,1.39,62.59,6,13.23,111,4
M04115,Bagasse,39.39,7.14,96.08,1.4,72.01,5,15.49,141,4
M04116,Bagasse,31.13,4.81,96.42,1.12,62.78,6,13.06,105,4
M04117,Bagasse,25.94,8.97,93.62,1.13,70.6,6,13.19,118,4
M04118,Bagasse,36.88,4.0,97.73,1.2,60.0,7,14.24,113,4
M04119,Bagasse,34.84,7.3,97.43,1.38,73.55,7,14.58,124,4
M04120,Bagasse,30.69,7.25,95.25,1.37,71.33,7,14.22,125,4
M04121,Bagasse,27.8,5.73,98.67,1.0,67.82,6,14.68,144,4
M04122,Bagasse,24.22,6.46,92.73,1.1,61.85,5,12.52,112,4
M04123,Bagasse,30.83,8.97,96.61,1.31,66.34,4,13.43,121,5
