Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Bagasse (Sugarcane),32.2,8.3,97.8,1.27,61.2,5,12.4816
Bagasse (Sugarcane),32.8,2,98.8,1.28,57.1,7,10.7818
Virgin Plastic (PP),76.9,9.4,1.2,4.59,28.1,10,26.9518
Edible Seaweed Film,13.1,7.9,100,0.29,3.1,3,6.5518
Virgin Plastic (PP),71.7,3.9,0.1,3.93,12.2,10,23.6416
Bioplastic (PLA),69.7,1.9,83.1,2.13,47.1,9,22.0118
Mushroom Mycelium,17.6,7.3,100,0.14,100,6,7.498
Bamboo Fiber,44.2,6.5,99.4,0.91,47.9,6,15.4962
Bamboo Fiber,54.4,8.6,97.1,0.88,35,8,19.206
Bamboo Fiber,54,0.6,96.7,1.12,41.2,8,16.7216
Aluminum Foil,25.7,7.3,0,8.62,99.2,10,11.6256
Mushroom Mycelium,15.8,4.5,100,0.18,100,5,6.126
Bagasse (Sugarcane),37.5,7.1,95.5,1.18,51.4,5,13.7132
Recycled Cardboard,21.4,7,93.9,0.99,94.2,4,8.7296
Bioplastic (PLA),70.5,7,80.8,1.77,46.1,9,23.7118
Mushroom Mycelium,21.9,5.6,100,0.16,100,4,8.282
Bamboo Fiber,58.3,7.7,95.4,1.04,32.1,6,20.1438
Bagasse (Sugarcane),38.9,6.4,98.2,1.19,56.4,5,13.9152
Bagasse (Sugarcane),38.5,5.4,96.6,1.15,69.8,7,13.4604
Edible Seaweed Film,10.8,6.8,100,0.2,9.2,4,5.5016
Bagasse (Sugarcane),28.6,9,98.9,1.14,62.4,7,11.5832
Aluminum Foil,42.3,3.9,0,10.37,90.5,10,15.953
Bagasse (Sugarcane),29,5.3,99.7,1.06,59.5,7,10.583
Mushroom Mycelium,24.9,9.6,100,0.19,100,6,10.388
Virgin Plastic (PP),81.2,8.4,4.5,3.93,16.1,10,27.8338
Edible Seaweed Film,9.7,8.1,100,0.26,7,2,5.578
Edible Seaweed Film,12.2,5.9,100,0.48,3.7,3,5.7186
Aluminum Foil,21.2,2.2,0,8.96,95,10,8.822
Aluminum Foil,44.5,2.7,0,9.15,99.7,10,15.9906
Bagasse (Sugarcane),33.1,2.8,97.8,1.02,61.7,6,11.0506
Mushroom Mycelium,16.7,9,100,0.31,100,4,7.772
Bioplastic (PLA),54.7,5,88.6,1.9,57.9,8,18.3742
Aluminum Foil,28.8,5,0,10.85,99.7,10,12.3106
Edible Seaweed Film,7.8,2,100,0.55,8,2,3.234
Bamboo Fiber,54.6,3.1,96.8,1.16,36.9,8,17.6682
Mushroom Mycelium,21.5,8,100,0.33,100,6,8.916
Bamboo Fiber,52.3,7.9,98.6,0.86,38.3,6,18.3554
Edible Seaweed Film,5.1,1.5,100,0.43,6.2,2,2.2536
Mushroom Mycelium,23.2,7.8,100,0.27,100,6,9.354
Bamboo Fiber,59.7,3.7,99.9,0.56,43.2,8,19.2456
Edible Seaweed Film,13.9,3.9,100,0.55,1.8,2,5.6464
Bioplastic (PLA),54.6,1.7,94.1,1.98,41.4,9,17.4032
Edible Seaweed Film,12.9,0.5,100,0.52,3.3,4,4.3174
Bagasse (Sugarcane),28.2,4.9,99.4,1.31,57.8,6,10.2764
Bioplastic (PLA),73.1,6.4,84.4,2.35,59.1,9,24.4018
Edible Seaweed Film,12.8,5,100,0.34,8.9,3,5.5902
Edible Seaweed Film,9.5,3.4,100,0.44,1.5,3,4.155
Mushroom Mycelium,15.9,1.6,100,0.35,100,4,5.32
Mushroom Mycelium,21.5,4.3,100,0.22,100,6,7.784
Virgin Plastic (PP),86.4,3.1,3.1,4.85,20.7,10,27.9786
Edible Seaweed Film,11.7,6,100,0.46,5.4,4,5.5912
Bioplastic (PLA),54.2,2.7,82.2,1.91,57.3,8,17.5374
Bamboo Fiber,57.7,4.3,95.1,1.08,43.8,7,18.9284
Bagasse (Sugarcane),38.9,9.7,99.7,1.11,50.9,6,14.9002
Aluminum Foil,42.5,8.8,0,8.27,96.2,10,17.0516
Edible Seaweed Film,10.1,7.3,100,0.35,6.8,3,5.4764
Bamboo Fiber,58.5,6.6,97.8,0.56,30.8,8,19.7804
Bamboo Fiber,43.8,4.7,95.2,0.8,43.7,6,14.8226
Virgin Plastic (PP),77.6,3.3,3.1,5.28,25.7,10,25.4746
Mushroom Mycelium,21.2,2.1,100,0.17,100,4,7.024
Recycled Cardboard,18.5,3.1,93.9,1.08,88.3,3,6.7194
Recycled Cardboard,30.1,7.9,91.8,1.02,84.6,5,11.6348
Bamboo Fiber,40.1,6.3,96.2,0.51,42,6,14.138
Bioplastic (PLA),56.5,3.4,87.2,2.18,50.3,9,18.5054
Mushroom Mycelium,22.3,1.4,100,0.36,100,4,7.182
Aluminum Foil,35.4,6.9,0,9.16,91.5,10,14.539
Bagasse (Sugarcane),35.9,9.4,97.3,1.08,50.8,5,13.9044
Edible Seaweed Film,6.2,1,100,0.3,3.1,3,2.4138
Mushroom Mycelium,23.9,2.8,100,0.26,100,4,8.062
Recycled Cardboard,28.4,4.2,91.3,1.22,99.7,3,10.0246
Virgin Plastic (PP),71.8,7.9,1.5,5.96,13.5,10,25.275
Bioplastic (PLA),52.8,6.9,93.4,1.78,48.8,8,18.3684
Bagasse (Sugarcane),31.8,4,99.6,1.15,68.7,5,11.0326
Bagasse (Sugarcane),33.5,5.6,98.4,1.15,68.6,7,12.0228
Bagasse (Sugarcane),30.1,3.5,98.4,1.09,56.9,6,10.3842
Aluminum Foil,31.6,7.7,0,11.06,91.1,10,14.0198
Mushroom Mycelium,14.9,2.8,100,0.38,100,5,5.386
Aluminum Foil,39.3,1.1,0,9.53,90.1,10,14.0458
Bamboo Fiber,44.1,2.6,95.6,1.08,42.1,6,14.3418
Bioplastic (PLA),61.8,3.9,93.7,1.98,55,9,20.196
Bagasse (Sugarcane),31.3,4,95.3,1.32,67.4,6,10.9192
Bagasse (Sugarcane),30.1,4.8,97.3,0.94,63.1,6,10.7318
Bioplastic (PLA),63.1,3.7,86.1,2.37,59,9,20.596
Virgin Plastic (PP),89.9,8.3,4.5,4.98,26.3,10,30.6034
Bagasse (Sugarcane),22.6,1.6,96,1.33,50.8,5,7.6244
Recycled Cardboard,29.6,5.9,97.7,0.9,95,5,10.84
Edible Seaweed Film,8.1,3.6,100,0.36,8.2,2,3.7656
Virgin Plastic (PP),79.6,0.8,2.4,5.01,18.3,10,25.2854
Bioplastic (PLA),58.9,8.4,82.5,2.06,57.7,8,20.6866
Bagasse (Sugarcane),34.1,9.3,98.9,1.19,66.8,6,13.3244
Virgin Plastic (PP),84.1,3.1,3.8,3.52,16.9,10,27.0302
Bamboo Fiber,53.6,4.9,95.2,0.66,37.3,8,17.8074
Virgin Plastic (PP),86,7.2,2.1,3.96,29.6,10,28.8928
Bamboo Fiber,57.4,9.5,95.9,0.57,30.8,7,20.3224
Bagasse (Sugarcane),32.2,1.3,98.3,1.37,53.8,6,10.4164
Aluminum Foil,26.1,2.4,0,10.99,97.2,10,10.7536
Aluminum Foil,21.3,5.3,0,10.84,97.2,10,10.1536
Mushroom Mycelium,23.5,8.8,100,0.15,100,6,9.72
Recycled Cardboard,26.3,8.4,99.6,1.28,91.1,3,10.6838
Edible Seaweed Film,7.3,8.2,100,0.4,1.5,4,4.927
Recycled Cardboard,26.2,4.4,97.7,0.87,85.9,3,9.3822
Bamboo Fiber,47.7,1.7,96,1.15,42.7,7,15.1646
Mushroom Mycelium,24.1,7.7,100,0.17,100,6,9.574
Recycled Cardboard,32.6,2,92.2,1.16,81.9,5,10.6482
Recycled Cardboard,31.2,5.7,95.6,1.17,86.1,4,11.3318
Recycled Cardboard,33,9.4,98.3,0.87,90.3,4,12.9134
Bioplastic (PLA),59.5,8.6,89.6,1.7,44.8,9,20.8804
Bagasse (Sugarcane),24.3,9.3,97.7,1.08,66.9,7,10.3622
Virgin Plastic (PP),69.9,5.8,5,5.54,28.8,10,23.9604
Bamboo Fiber,58.5,2.7,98.4,1.12,45.6,8,18.6928
Bagasse (Sugarcane),30,6.1,99.4,1.04,59.6,6,11.1188
Virgin Plastic (PP),88.7,9.4,1.7,4.35,16.7,10,30.4666
Bamboo Fiber,51.5,7.2,97.4,1.07,42.7,8,17.9386
Virgin Plastic (PP),73.5,1.2,1.6,4.01,16.9,10,23.3782
Recycled Cardboard,20.8,4.3,96.7,0.94,97.6,5,7.7228
Edible Seaweed Film,12.3,3.6,100,0.4,5.7,2,5.0386
Bioplastic (PLA),64.1,9,85.6,2.17,46,8,22.472
Bagasse (Sugarcane),28.2,6,98.5,1.36,63.8,5,10.6044
Recycled Cardboard,25.2,0.6,94.1,1.22,84.8,4,8.0144
Bioplastic (PLA),65.2,1.5,87.8,2.19,50.1,8,20.5478
Bamboo Fiber,40.2,4.7,97.9,0.5,39,8,13.692
Aluminum Foil,42.3,9.4,0,11.32,91.3,10,17.7914
Bagasse (Sugarcane),35.3,7.8,98.8,1.29,67,5,13.254
Bagasse (Sugarcane),30.7,2,98.4,1.37,59.8,7,10.1644
Bamboo Fiber,42.6,6.3,99.2,0.89,43.2,8,14.9616
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,22.777
Recycled Cardboard,22.8,8.3,98.9,1.33,85.4,5,9.6252
Bagasse (Sugarcane),22.5,8.4,97.7,1.02,53.9,6,9.5662
Bioplastic (PLA),68.4,5,86.8,1.5,45,9,22.43
Bamboo Fiber,56.9,8.8,99.5,0.76,41.5,8,19.979
Edible Seaweed Film,10.2,9.2,100,0.53,1.2,2,6.1236
Virgin Plastic (PP),66.9,3.9,1.6,3.86,28.2,10,22.1556
Edible Seaweed Film,8.7,4,100,0.29,3.1,4,4.0618
Virgin Plastic (PP),78.9,6.1,1.6,4.61,13.2,10,26.5956
Bagasse (Sugarcane),26.3,7.9,98.8,0.91,53.1,5,10.5358
Virgin Plastic (PP),81.7,3.9,4,5.03,23.8,10,26.8384
Edible Seaweed Film,8.9,2.5,100,0.31,3.2,2,3.6756
Virgin Plastic (PP),81.3,8.7,1.4,4.26,20.8,10,28.0104
Bamboo Fiber,58.8,9.1,95.9,0.82,33.8,8,20.6664
Mushroom Mycelium,11.5,7.2,100,0.33,100,5,5.676
Mushroom Mycelium,19.7,3.8,100,0.35,100,4,7.12
Virgin Plastic (PP),86.3,7.3,4.6,5.09,28.4,10,29.2412
Aluminum Foil,40.5,4.8,0,8.56,94.5,10,15.313
Aluminum Foil,43.2,7.9,0,9.52,93.1,10,17.2478
Aluminum Foil,39.8,6,0,10.04,90.2,10,15.7676
Mushroom Mycelium,15,0.7,100,0.18,100,6,4.746
Bioplastic (PLA),52.2,4.6,83,1.87,52.6,9,17.5088
Bamboo Fiber,40.2,9.5,99.3,1.11,46,6,15.24
Mushroom Mycelium,15.9,9.4,100,0.39,100,6,7.668
Bioplastic (PLA),66.1,4.2,88.4,1.98,52.2,9,21.5816
Bamboo Fiber,51.8,2.3,97.8,0.91,34.3,8,16.5434
Edible Seaweed Film,9.3,3.8,100,0.3,4.7,2,4.1806
Mushroom Mycelium,22.3,8,100,0.37,100,5,9.164
Bamboo Fiber,47.9,1.5,98.1,1.1,30.3,8,15.1794
Recycled Cardboard,28.9,0.6,99,1.02,98.1,4,9.0578
Bamboo Fiber,56.6,5.6,96,0.77,46.6,7,18.9208
Bagasse (Sugarcane),35.8,8.6,95.7,1.31,50.2,5,13.6816
Recycled Cardboard,27,1.5,97,1.07,81.2,4,8.8016
Aluminum Foil,29.3,7.3,0,8.92,90.5,10,12.783
Bagasse (Sugarcane),39.6,2,99.9,1.15,52.5,7,12.805
Mushroom Mycelium,16.9,1.7,100,0.27,100,6,5.634
Mushroom Mycelium,23.1,7.4,100,0.23,100,4,9.196
Bamboo Fiber,50.8,4.4,97,0.79,35.6,7,16.8468
Recycled Cardboard,22.3,1.8,97.5,1.12,82.9,4,7.4882
Virgin Plastic (PP),80.3,8.7,2.4,5.27,22.9,10,27.9082
Bioplastic (PLA),65.2,1.9,87.1,2.34,59.9,8,20.6782
Recycled Cardboard,28.9,2.8,99.4,1.25,81.5,5,9.797
Virgin Plastic (PP),73,10,2.3,4.85,26,10,26.018
Bioplastic (PLA),50.3,8.4,86.2,1.79,57.3,9,18.0534
Bagasse (Sugarcane),30.8,4.1,99.4,1.05,61.7,5,10.7566
Virgin Plastic (PP),68.1,5.5,3.1,5.87,25.3,10,23.4034
Edible Seaweed Film,5.4,7.3,100,0.31,1.8,3,4.0684
Bamboo Fiber,57.4,1.7,96,1.18,49.4,6,18.0672
Bioplastic (PLA),69.1,4.9,91.9,1.64,53.8,8,22.6204
Virgin Plastic (PP),81.4,8.5,4.5,4.87,14.8,10,28.1144
Edible Seaweed Film,7.7,9.5,100,0.55,6.3,4,5.4574
Recycled Cardboard,30.3,7.6,98.4,1.04,86.8,5,11.6044
Aluminum Foil,42.7,9.9,0,9.08,92.2,10,17.6116
Edible Seaweed Film,12.4,6,100,0.58,6.5,2,5.823
Virgin Plastic (PP),78.2,9.5,3.9,4.88,10.2,10,27.4656
Mushroom Mycelium,11.4,4.8,100,0.36,100,4,4.932
Aluminum Foil,22.4,8.8,0,8.51,99.1,10,11.0638
Bioplastic (PLA),50.8,6.5,82.2,1.52,43.5,9,17.607
Edible Seaweed Film,9.6,5.3,100,0.28,9.8,4,4.7064
Mushroom Mycelium,19.9,1.8,100,0.39,100,4,6.588
Bamboo Fiber,44.1,10,98.5,0.99,38.5,6,16.551
Recycled Cardboard,29.6,8.1,95.2,1.25,84.4,3,11.5912
Recycled Cardboard,28.2,1.5,94.4,1.04,91.4,4,9.1352
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,10.3956
Virgin Plastic (PP),84.9,3.5,4.3,4.21,10.9,10,27.5402
Bagasse (Sugarcane),27.3,7.5,99.3,1.39,65.3,6,10.7874
Edible Seaweed Film,14,9.5,100,0.25,6.3,4,7.2874
Aluminum Foil,28.1,2.3,0,8.3,91,10,10.798
Bagasse (Sugarcane),38.7,6.1,96.3,1.35,60.9,6,13.7882
Mushroom Mycelium,13.5,2.8,100,0.37,100,4,4.964
Bioplastic (PLA),60.9,2.5,88.1,2.16,44.1,8,19.5638
Recycled Cardboard,30,2.4,91.4,0.94,85.7,5,9.9366
Mushroom Mycelium,16.8,1.8,100,0.19,100,5,5.618
Bioplastic (PLA),67.1,8.7,84.6,1.52,42.4,9,23.1592
Aluminum Foil,35,0.8,0,8.75,95,10,12.5
Aluminum Foil,38,3,0,10.46,95.6,10,14.4008
Mushroom Mycelium,20.7,5.1,100,0.13,100,5,7.766
Aluminum Foil,28.5,5.1,0,8.68,94.2,10,11.8276
Aluminum Foil,20.6,8.8,0,11.31,99.5,10,11.083
Mushroom Mycelium,22.4,0.6,100,0.18,100,6,6.936
Recycled Cardboard,31,4.6,97.6,1.23,91.8,3,10.9424
Virgin Plastic (PP),76.6,8.3,2,5.36,15.5,10,26.711
Bioplastic (PLA),71.1,3.2,86.3,2.05,40.6,8,22.8188
Edible Seaweed Film,11.8,1.6,100,0.38,1.9,3,4.2922
Bagasse (Sugarcane),30.4,4,95.7,1.03,62.4,5,10.6012
Aluminum Foil,41.7,8.6,0,11.5,91.1,10,17.4078
Aluminum Foil,38.3,3.3,0,8.83,97.4,10,14.2512
Bamboo Fiber,51.7,6.4,96.3,0.9,43.6,8,17.7228
Bagasse (Sugarcane),24.7,3.7,98.9,1.03,59.1,6,8.8078
Bamboo Fiber,44,3.3,98.9,0.65,45.8,6,14.4284
Mushroom Mycelium,13.4,8.6,100,0.13,100,5,6.626
Virgin Plastic (PP),69.3,2.1,0.4,5.38,15.1,10,22.6658
Virgin Plastic (PP),68.4,1.3,4.6,4.58,24.6,10,21.9768
Virgin Plastic (PP),79.6,7.5,3.2,5.82,14.1,10,27.4658
Aluminum Foil,42.2,3,0,11.36,90.7,10,15.8506
Virgin Plastic (PP),71.3,2.2,4.6,5.55,14.6,10,23.3308
Aluminum Foil,27.5,7.5,0,9.52,95.5,10,12.413
Mushroom Mycelium,24.1,3.7,100,0.36,100,6,8.412
Recycled Cardboard,34.3,7.9,96,1.06,88.2,5,12.8956
Bamboo Fiber,52.2,2.1,98,0.96,39.9,8,16.6022
Recycled Cardboard,20.9,9.5,93.4,1.16,90.7,5,9.3706
Virgin Plastic (PP),60.2,3.5,1.1,3.63,21.8,10,19.9924
Edible Seaweed Film,14.1,3.4,100,0.52,9.9,4,5.5342
Virgin Plastic (PP),79.6,6.4,1.3,3.84,28.8,10,26.7104
Mushroom Mycelium,14.9,1.2,100,0.26,100,6,4.882
Recycled Cardboard,25.7,2.2,95.5,1.13,94.2,4,8.6076
Edible Seaweed Film,12.3,7,100,0.33,0.9,4,6.0542
Edible Seaweed Film,10.4,6.1,100,0.43,8.8,2,5.2184
Bamboo Fiber,44.2,2.1,97.5,0.69,33.2,6,14.1616
Bagasse (Sugarcane),23.6,5.9,95.2,1.37,68.6,5,9.1868
Bagasse (Sugarcane),34.5,7.3,97.8,1.39,50.7,5,12.9166
Bamboo Fiber,49.3,3.7,97.9,0.88,49.5,7,16.177
Edible Seaweed Film,12.8,3.1,100,0.3,6.4,2,5.0172
Mushroom Mycelium,11.8,3.1,100,0.16,100,6,4.502
Virgin Plastic (PP),60.6,4,2,4.46,16.2,10,20.4396
Bagasse (Sugarcane),39.3,4.1,98.2,1.09,67,5,13.304
Virgin Plastic (PP),88.5,6.8,4.3,4.53,25.1,10,29.6458
Edible Seaweed Film,13.5,7.4,100,0.32,3.4,2,6.5272
Bamboo Fiber,53.2,3.2,95.9,0.55,35,7,17.16
Bagasse (Sugarcane),27.8,0.5,96.9,0.91,60.1,6,8.7518
Virgin Plastic (PP),75.1,9.1,3.1,5.56,26.3,10,26.5194
Bioplastic (PLA),70.6,4,88.9,1.53,51.5,8,22.783
Virgin Plastic (PP),76.8,0.6,4,5.85,16.6,10,24.5568
Bamboo Fiber,50.1,4.5,96.9,1.05,46.8,6,16.6964
Recycled Cardboard,16.9,9.5,99.6,1.44,99.2,3,8.2096
Edible Seaweed Film,6.4,2.9,100,0.36,3.2,3,3.0556
Bioplastic (PLA),65,9.4,83.4,1.64,40.5,8,22.767
Mushroom Mycelium,21.4,4,100,0.15,100,5,7.65
Bamboo Fiber,58.7,5.5,96.5,1.07,47.4,8,19.5792
Mushroom Mycelium,12.8,7.8,100,0.13,100,6,6.206
Edible Seaweed Film,10.1,2.7,100,0.24,2.6,4,4.0828
Bagasse (Sugarcane),25,5.9,98.3,1.23,56.6,6,9.6028
Mushroom Mycelium,23.1,6.2,100,0.21,100,4,8.832
Bamboo Fiber,45,3.1,99.3,0.93,44.1,8,14.7278
Recycled Cardboard,18.8,7.3,93,1.47,89.4,5,8.1452
Virgin Plastic (PP),79.3,2.4,2.4,4.86,13.7,10,25.6546
Bamboo Fiber,45.7,9.8,95.8,0.96,44.9,7,16.9522
Edible Seaweed Film,11.8,2.1,100,0.33,2,2,4.432
Recycled Cardboard,34.5,3.7,97.7,1.36,82,4,11.768
Bagasse (Sugarcane),25.5,0.6,95.9,1.18,52.7,6,8.1606
Mushroom Mycelium,17.9,3.2,100,0.26,100,5,6.382
Bagasse (Sugarcane),34.9,7,99,1.38,52,7,12.942
Aluminum Foil,42.5,1.7,0,8.26,93.7,10,14.9246
Aluminum Foil,22.2,2.7,0,8.1,93.1,10,9.1038
Aluminum Foil,31.9,7.8,0,8.43,97.5,10,13.601
Aluminum Foil,37.9,7.1,0,11.68,94.3,10,15.8474
Bioplastic (PLA),68.8,3.7,92.6,2.12,54.4,8,22.2652
Virgin Plastic (PP),67.2,0.8,1.8,5.31,11.8,10,21.6384
Bamboo Fiber,53.4,8.7,96.3,1.08,32.1,8,18.9818
Bamboo Fiber,58.4,5.7,99.4,1.01,33.7,8,19.5646
Edible Seaweed Film,6.1,1.7,100,0.58,1.4,3,2.6532
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,9.3426
Mushroom Mycelium,21.6,2.1,100,0.33,100,4,7.176
Mushroom Mycelium,20.7,1.3,100,0.12,100,5,6.624
Recycled Cardboard,15.5,9,98.6,0.9,91.9,4,7.5462
Virgin Plastic (PP),88,5.6,0.8,3.86,27.9,10,28.9962
Bamboo Fiber,54.5,5.2,96.2,0.65,47.2,8,18.1456
Bagasse (Sugarcane),31.2,1,99.9,1.38,53.8,6,10.0284
Recycled Cardboard,20.9,3.8,92.7,1.34,94.1,5,7.6898
Aluminum Foil,36.1,5.9,0,8.71,94.8,10,14.3524
Mushroom Mycelium,10.4,8.3,100,0.32,100,4,5.674
Bioplastic (PLA),50.8,4,89.8,2.02,45.8,8,16.9524
Aluminum Foil,24.7,6,0,9.31,98.5,10,11.075
Bioplastic (PLA),54,8.9,88.4,2.17,55.2,9,19.3936
Aluminum Foil,32.4,6.7,0,11.42,90.5,10,14.033
Bioplastic (PLA),60.4,3.9,88.7,2.42,58.2,9,19.8576
Aluminum Foil,41.4,4,0,10.98,92.1,10,15.8318
Bioplastic (PLA),67.9,2.3,86.8,1.71,49.2,9,21.5036
Mushroom Mycelium,18.3,4.5,100,0.37,100,6,6.914
Bamboo Fiber,50.7,6.6,98.8,0.54,30.5,7,17.437
Bioplastic (PLA),74,8,93.2,2.01,56.6,8,25.0888
Bamboo Fiber,52.1,4.9,95,0.79,35.3,6,17.3874
Recycled Cardboard,18.3,9.2,93.4,0.87,97.4,5,8.4292
Virgin Plastic (PP),85.5,6.5,0.1,5.98,11.4,10,28.9732
Edible Seaweed Film,10.3,8.4,100,0.35,0.5,2,5.879
Bagasse (Sugarcane),23.3,9.4,99.8,1.4,65.9,7,10.1582
Recycled Cardboard,26.6,5.6,94.6,1.29,88.2,4,9.9416
Mushroom Mycelium,18.5,6.2,100,0.26,100,6,7.462
Recycled Cardboard,22.4,3.3,95.3,1.23,95.2,5,7.9656
Bioplastic (PLA),68.7,4.2,90.1,2,55.1,9,22.3598
Mushroom Mycelium,13.1,4.9,100,0.36,100,4,5.472
Bamboo Fiber,43.1,8.4,95.1,1.1,49,6,15.772
Mushroom Mycelium,17.9,5.9,100,0.3,100,4,7.2
Bioplastic (PLA),73.5,2.6,82.3,2.46,56.5,8,23.409
Bamboo Fiber,53.3,7.1,97.4,0.65,46.5,7,18.357
Bamboo Fiber,45.7,7.7,98.8,0.82,32.7,7,16.3186
Recycled Cardboard,34,5.8,97.9,1.41,99.9,4,12.2222
Bioplastic (PLA),53.9,10,86,1.5,45.3,9,19.5794
Bagasse (Sugarcane),24,8.9,99.2,1.13,51.9,7,10.1922
Virgin Plastic (PP),81.9,1.4,0.2,4.08,16.5,10,25.973
Aluminum Foil,37.9,3.4,0,10.97,93.6,10,14.5968
Bamboo Fiber,50.7,8.6,95.2,1.08,38.8,8,18.1284
Mushroom Mycelium,11.7,8.2,100,0.35,100,4,6.04
Edible Seaweed Film,9.5,8.9,100,0.5,7,2,5.806
Recycled Cardboard,28.3,4.8,95.1,0.86,98.8,3,10.1044
Aluminum Foil,27.3,1.7,0,10.44,96.9,10,10.7942
Bioplastic (PLA),55.3,1.3,90.4,1.55,55,9,17.38
Bioplastic (PLA),74.9,0.9,83.2,1.98,44.9,8,23.2462
Mushroom Mycelium,22.1,6.6,100,0.13,100,5,8.636
Mushroom Mycelium,21.7,1.4,100,0.22,100,6,6.974
Edible Seaweed Film,14.6,7.7,100,0.52,4.9,4,6.9842
Recycled Cardboard,24.2,3.7,91.7,1.08,89.5,5,8.607
Recycled Cardboard,32,3.9,90.4,1.48,84.1,3,11.0978
Edible Seaweed Film,13.8,3.2,100,0.54,0.9,4,5.4062
Aluminum Foil,40,6.2,0,8.62,92,10,15.6
Virgin Plastic (PP),72.4,7.4,2.5,4.07,10.6,10,24.9328
Bamboo Fiber,56.6,4.9,97.1,1.18,33.6,8,18.8188
Mushroom Mycelium,15.5,4.7,100,0.28,100,4,6.116
Mushroom Mycelium,11.9,9.6,100,0.39,100,6,6.528
Bagasse (Sugarcane),24.2,4.7,97.2,1,58.3,7,8.9534
Virgin Plastic (PP),81.9,5.1,2.6,4.75,12.8,10,27.2244
Bamboo Fiber,50.7,9.3,95.3,1.18,30.2,8,18.3756
Bioplastic (PLA),63.7,7.7,87.4,1.68,54.6,8,21.8468
Bamboo Fiber,53.2,6.6,95.3,0.8,40.4,8,18.2192
Aluminum Foil,37.7,1.3,0,8.72,95.2,10,13.4536
Bamboo Fiber,57.2,5.3,96.7,0.92,48.9,6,19.0362
Bioplastic (PLA),67.6,0.7,84.3,2.45,45.2,8,21.0896
Bioplastic (PLA),69.5,8,92,2.25,47.6,9,23.8048
Aluminum Foil,22.3,9.7,0,9.75,94.3,10,11.5614
Recycled Cardboard,25.6,2.4,93.8,0.87,97.4,3,8.5792
Aluminum Foil,20.7,7.4,0,9.68,93.5,10,10.379
Bamboo Fiber,50.5,7.2,95.3,0.95,49,7,17.602
Edible Seaweed Film,8.5,1.2,100,0.44,2.1,4,3.1938
Bagasse (Sugarcane),36.4,6.9,98.4,1.07,56.8,6,13.2904
Mushroom Mycelium,18.4,4.3,100,0.25,100,6,6.86
Edible Seaweed Film,14.8,2.4,100,0.47,2.1,2,5.4498
Recycled Cardboard,15.7,8.6,97.3,1.03,91,5,7.514
Mushroom Mycelium,11.2,2.6,100,0.2,100,6,4.18
Mushroom Mycelium,22.4,6.4,100,0.22,100,4,8.684
Mushroom Mycelium,19.3,5,100,0.32,100,6,7.354
Bamboo Fiber,49,3.1,98.2,1.06,36.3,7,15.9694
Bioplastic (PLA),63.4,10,86.9,2.03,49.4,8,22.5272
Mushroom Mycelium,18,0.8,100,0.29,100,6,5.698
Bioplastic (PLA),64.3,5,91.4,1.8,48,9,21.254
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,12.299
Bamboo Fiber,57.7,7.3,97.9,0.83,47.8,6,19.7704
Recycled Cardboard,34.5,6.3,91.5,1.32,91.6,4,12.5208
Mushroom Mycelium,13.2,4.5,100,0.39,100,5,5.388
Bioplastic (PLA),66,2.1,92.5,2.1,50.5,9,20.949
Bamboo Fiber,53.3,2.4,96.6,1.16,46.7,8,17.0486
Recycled Cardboard,32.8,8.2,99.9,1.1,85.3,3,12.5494
Recycled Cardboard,20.7,6.1,91.7,0.94,99.1,5,8.2298
Bamboo Fiber,49.5,3,95.5,1.1,35.1,8,16.0998
Edible Seaweed Film,12.8,4.2,100,0.58,2.2,4,5.4116
Bioplastic (PLA),54.6,3.7,92.9,2.18,52,8,18.022
Edible Seaweed Film,12.6,9.3,100,0.41,9.1,2,6.8338
Bamboo Fiber,49.8,9.4,98.8,0.73,49.2,7,18.0076
Edible Seaweed Film,11.5,9.3,100,0.36,7.3,3,6.4974
Mushroom Mycelium,21.5,5.2,100,0.31,100,5,8.072
Mushroom Mycelium,16.2,4,100,0.18,100,6,6.096
Recycled Cardboard,20.5,7.4,94.5,1.23,96.9,3,8.6222
Aluminum Foil,28.2,9.5,0,8.7,96.8,10,13.0564
Virgin Plastic (PP),67.7,3.6,1.1,5.53,13,10,22.67
Edible Seaweed Film,14,3.9,100,0.55,7.2,3,5.6656
Mushroom Mycelium,17.7,3.7,100,0.18,100,6,6.456
Virgin Plastic (PP),88.7,0.7,0.4,5.61,21.2,10,28.0996
Bamboo Fiber,46.4,8.3,98.6,0.89,30.7,7,16.7266
Bagasse (Sugarcane),33.4,8.4,98.6,1.18,52,5,12.872
Recycled Cardboard,27.5,2.3,90.1,1.08,83.2,5,9.1896
Bamboo Fiber,41.9,9.8,97.2,0.79,34.6,8,15.7988
Bamboo Fiber,48.6,3.2,96.8,0.63,36.2,6,15.7936
Bioplastic (PLA),71,9.6,91,1.96,59,9,24.654
Edible Seaweed Film,7.3,7.9,100,0.51,2.3,4,4.8574
